Значение n	 Значение pi	 Время вычисления(в сек.)	 Ошибка вычисления
10	 3.14242598500109827	 3.50003e-07	 0.000833331
50	 3.14162598692300365	 5.00004e-07	 3.33333e-05
100	 3.14160098692312495	 7.75006e-07	 8.33333e-06
500	 3.14159298692312694	 3.32503e-06	 3.33333e-07
1000	 3.14159273692312668	 6.39993e-06	 8.33333e-08
5000	 3.14159265692312673	 3.135e-05	 3.33333e-09
10000	 3.14159265442312385	 7.86e-05	 8.33331e-10
Значение n	 Значение pi	 Время вычисления(в сек.)	 Ошибка вычисления
10	 3.13992598890715868	 1.75001e-07	 0.00166666
50	 3.14152598692325347	 4.25003e-07	 6.66667e-05
100	 3.14157598692312856	 6.75005e-07	 1.66667e-05
500	 3.14159198692312591	 3.4e-06	 6.66667e-07
1000	 3.14159248692312643	 1.1e-05	 1.66667e-07
5000	 3.14159264692312812	 3.8025e-05	 6.66666e-09
10000	 3.14159265192312365	 7.085e-05	 1.66667e-09
Значение n	 Значение pi	 Время вычисления(в сек.)	 Ошибка вычисления
10	 3.14159265296978507	 2.75002e-07	 6.20008e-10
50	 3.14159265358975404	 8.50006e-07	 3.90799e-14
100	 3.14159265358979312	 1.47498e-06	 0
500	 3.14159265358979534	 7.07502e-06	 2.22045e-15
1000	 3.14159265358979223	 1.42e-05	 8.88178e-16
5000	 3.14159265358979356	 6.8625e-05	 4.44089e-16
10000	 3.14159265358979711	 0.00014445	 3.9968e-15
