Значение n	 Время вычислений (в сек.)	 Точность вычислений
10	 0.00185717	 33.8362
50	 0.000282575	 665927
100	 0.000638	 2.2609e+07
500	 0.056523	 5.58526e+09
1000	 0.583735	 1.88065e+10
Значение n	 Время вычислений (в сек.)	 Точность вычислений
10	 0.0479015	 0.220361
50	 0.00114065	 27.8236
100	 0.00456547	 33.7188
500	 0.173822	 4012.08
1000	 1.22115	 177757
Значение n	 Время вычислений (в сек.)	 Точность вычислений
10	 0.0991522	 34.4685
50	 0.000171825	 7.3377e+06
100	 0.0006143	 1.47573e+09
500	 0.0638436	 3.66127e+12
1000	 0.602492	 9.62217e+13
Значение n	 Время вычислений (в сек.)	 Точность вычислений
10	 0.0996964	 8.84574
50	 0.00128763	 912.391
100	 0.00670835	 2198.74
500	 0.30683	 37998.2
1000	 1.94854	 121245
